Fecha,Zona,Valor
2026-03-21 23:00:00+00:00,Alemania,401.65
2026-03-21 23:00:00+00:00,Bélgica,376.48
2026-03-21 23:00:00+00:00,España,294.66
2026-03-21 23:00:00+00:00,Francia,294.66
2026-03-21 23:00:00+00:00,Países Bajos,392.8
2026-03-21 23:00:00+00:00,Portugal,294.66
2026-03-22 00:00:00+00:00,Alemania,383.02
2026-03-22 00:00:00+00:00,Bélgica,348.47
2026-03-22 00:00:00+00:00,España,232.0
2026-03-22 00:00:00+00:00,Francia,232.0
2026-03-22 00:00:00+00:00,Países Bajos,371.71
2026-03-22 00:00:00+00:00,Portugal,232.0
2026-03-22 01:00:00+00:00,Portugal,183.52
2026-03-22 01:00:00+00:00,Países Bajos,359.6
2026-03-22 01:00:00+00:00,Francia,183.52
2026-03-22 01:00:00+00:00,Bélgica,328.93
2026-03-22 01:00:00+00:00,Alemania,376.81
2026-03-22 01:00:00+00:00,España,183.52
2026-03-22 02:00:00+00:00,Alemania,381.04
2026-03-22 02:00:00+00:00,Bélgica,314.22
2026-03-22 02:00:00+00:00,España,164.8
2026-03-22 02:00:00+00:00,Francia,164.8
2026-03-22 02:00:00+00:00,Países Bajos,349.97
2026-03-22 02:00:00+00:00,Portugal,164.8
2026-03-22 03:00:00+00:00,Países Bajos,360.99
2026-03-22 03:00:00+00:00,Portugal,166.22
2026-03-22 03:00:00+00:00,Francia,166.22
2026-03-22 03:00:00+00:00,Alemania,394.39
2026-03-22 03:00:00+00:00,Bélgica,323.86
2026-03-22 03:00:00+00:00,España,166.22
2026-03-22 04:00:00+00:00,Alemania,406.65
2026-03-22 04:00:00+00:00,Bélgica,329.98
2026-03-22 04:00:00+00:00,España,157.12
2026-03-22 04:00:00+00:00,Francia,157.12
2026-03-22 04:00:00+00:00,Países Bajos,367.77
2026-03-22 04:00:00+00:00,Portugal,157.12
2026-03-22 05:00:00+00:00,Portugal,179.39
2026-03-22 05:00:00+00:00,Países Bajos,372.41
2026-03-22 05:00:00+00:00,Francia,179.39
2026-03-22 05:00:00+00:00,España,179.39
2026-03-22 05:00:00+00:00,Alemania,400.42
2026-03-22 05:00:00+00:00,Bélgica,339.77
2026-03-22 06:00:00+00:00,Alemania,338.84
2026-03-22 06:00:00+00:00,Bélgica,306.08
2026-03-22 06:00:00+00:00,España,196.06
2026-03-22 06:00:00+00:00,Francia,196.06
2026-03-22 06:00:00+00:00,Países Bajos,325.92
2026-03-22 06:00:00+00:00,Portugal,196.06
2026-03-22 07:00:00+00:00,Portugal,123.27
2026-03-22 07:00:00+00:00,Países Bajos,163.79
2026-03-22 07:00:00+00:00,Francia,130.35
2026-03-22 07:00:00+00:00,Bélgica,155.7
2026-03-22 07:00:00+00:00,Alemania,165.32
2026-03-22 07:00:00+00:00,España,123.27
2026-03-22 08:00:00+00:00,Alemania,27.09
2026-03-22 08:00:00+00:00,Bélgica,27.42
2026-03-22 08:00:00+00:00,España,15.26
2026-03-22 08:00:00+00:00,Francia,27.57
2026-03-22 08:00:00+00:00,Países Bajos,27.27
2026-03-22 08:00:00+00:00,Portugal,15.26
2026-03-22 09:00:00+00:00,España,-1.28
2026-03-22 09:00:00+00:00,Portugal,-1.28
2026-03-22 09:00:00+00:00,Países Bajos,-1.56
2026-03-22 09:00:00+00:00,Bélgica,-1.43
2026-03-22 09:00:00+00:00,Alemania,-1.72
2026-03-22 09:00:00+00:00,Francia,-1.28
2026-03-22 10:00:00+00:00,Países Bajos,-16.39
2026-03-22 10:00:00+00:00,Alemania,-17.45
2026-03-22 10:00:00+00:00,Bélgica,-12.51
2026-03-22 10:00:00+00:00,España,-11.02
2026-03-22 10:00:00+00:00,Francia,-11.02
2026-03-22 10:00:00+00:00,Portugal,-11.02
2026-03-22 11:00:00+00:00,Portugal,-5.52
2026-03-22 11:00:00+00:00,Francia,-5.52
2026-03-22 11:00:00+00:00,Países Bajos,-62.91
2026-03-22 11:00:00+00:00,Bélgica,-7.69
2026-03-22 11:00:00+00:00,Alemania,-47.04
2026-03-22 11:00:00+00:00,España,-5.52
2026-03-22 12:00:00+00:00,Alemania,-41.24
2026-03-22 12:00:00+00:00,Bélgica,-27.25
2026-03-22 12:00:00+00:00,España,-14.12
2026-03-22 12:00:00+00:00,Francia,-14.12
2026-03-22 12:00:00+00:00,Países Bajos,-36.25
2026-03-22 12:00:00+00:00,Portugal,-6.04
2026-03-22 13:00:00+00:00,Portugal,-4.55
2026-03-22 13:00:00+00:00,Francia,-0.34
2026-03-22 13:00:00+00:00,Países Bajos,-6.32
2026-03-22 13:00:00+00:00,Bélgica,-3.19
2026-03-22 13:00:00+00:00,Alemania,-8.71
2026-03-22 13:00:00+00:00,España,-5.14
2026-03-22 14:00:00+00:00,Alemania,45.0
2026-03-22 14:00:00+00:00,Bélgica,39.64
2026-03-22 14:00:00+00:00,España,-3.31
2026-03-22 14:00:00+00:00,Francia,5.84
2026-03-22 14:00:00+00:00,Países Bajos,43.94
2026-03-22 14:00:00+00:00,Portugal,-3.31
2026-03-22 15:00:00+00:00,Países Bajos,326.3
2026-03-22 15:00:00+00:00,Alemania,372.61
2026-03-22 15:00:00+00:00,Bélgica,265.84
2026-03-22 15:00:00+00:00,España,-3.04
2026-03-22 15:00:00+00:00,Francia,15.94
2026-03-22 15:00:00+00:00,Portugal,-3.04
2026-03-22 16:00:00+00:00,Portugal,0.4
2026-03-22 16:00:00+00:00,Países Bajos,521.63
2026-03-22 16:00:00+00:00,Francia,148.76
2026-03-22 16:00:00+00:00,España,0.4
2026-03-22 16:00:00+00:00,Bélgica,457.17
2026-03-22 16:00:00+00:00,Alemania,582.54
2026-03-22 17:00:00+00:00,Alemania,696.76
2026-03-22 17:00:00+00:00,Bélgica,611.51
2026-03-22 17:00:00+00:00,España,53.25
2026-03-22 17:00:00+00:00,Francia,314.48
2026-03-22 17:00:00+00:00,Países Bajos,652.01
